230	355	7
230	742	4
230	759	1
230	931	2
230	970	1
230	1031	1
230	1057	2
230	1070	1
230	1158	3
230	1159	1
230	1163	1
230	1927	2
230	2299	1
230	2715	2
230	2723	3
230	2828	3
230	2903	4
230	3126	3
230	3127	1
355	742	4
355	759	1
355	931	2
355	970	1
355	1031	1
355	1057	2
355	1070	1
355	1158	4
355	1159	2
355	1163	3
355	1927	2
355	2125	1
355	2715	2
355	2723	4
355	2828	4
355	2903	4
355	3126	4
355	3127	1
355	3538	1
724	759	2
724	931	4
724	970	3
724	972	2
724	1028	3
724	1031	3
724	1039	3
724	1057	2
724	1070	4
724	1158	4
724	1159	1
724	1163	6
724	1927	2
724	2125	2
724	2299	7
724	2625	4
724	2715	2
724	2723	3
724	2828	4
724	2903	2
724	3126	2
724	3127	2
724	3465	3
724	3466	4
724	3538	3
742	759	1
742	931	2
742	1031	1
742	1057	4
742	1070	2
742	1158	4
742	1159	1
742	1163	2
742	1521	1
742	2299	1
742	2715	3
742	2723	3
742	2828	3
742	2903	4
742	3126	3
742	3127	2
759	931	4
759	970	2
759	972	1
759	1028	1
759	1031	1
759	1039	2
759	1057	4
759	1070	4
759	1158	3
759	1159	1
759	1163	4
759	1927	2
759	2125	3
759	2299	3
759	2625	1
759	2715	1
759	2723	4
759	2828	4
759	2903	1
759	3126	1
759	3127	1
759	3465	3
759	3466	2
759	3538	2
931	970	4
931	972	4
931	1028	4
931	1031	2
931	1039	4
931	1057	5
931	1070	8
931	1158	10
931	1159	2
931	1163	10
931	1521	2
931	1927	4
931	2125	3
931	2299	4
931	2625	4
931	2715	5
931	2723	7
931	2828	9
931	2903	2
931	3126	4
931	3127	3
931	3465	3
931	3466	3
931	3538	5
970	972	5
970	1028	4
970	1031	1
970	1039	3
970	1057	2
970	1070	4
970	1158	5
970	1159	3
970	1163	7
970	1521	1
970	1927	6
970	2125	5
970	2299	4
970	2625	3
970	2715	3
970	2723	3
970	2828	8
970	3126	1
970	3127	3
970	3465	3
970	3466	7
970	3538	4
972	1028	6
972	1031	2
972	1039	5
972	1057	1
972	1070	5
972	1158	6
972	1159	4
972	1163	8
972	1521	2
972	1927	4
972	2125	5
972	2299	3
972	2625	6
972	2715	4
972	2723	3
972	2828	8
972	3126	3
972	3127	3
972	3465	3
972	3466	6
972	3538	4
1028	1031	4
1028	1039	6
1028	1057	1
1028	1070	5
1028	1158	6
1028	1159	4
1028	1163	8
1028	1521	2
1028	1927	5
1028	2125	4
1028	2299	5
1028	2625	5
1028	2715	6
1028	2723	3
1028	2828	9
1028	2903	2
1028	3126	4
1028	3127	5
1028	3465	4
1028	3466	3
1028	3538	7
1031	1039	4
1031	1057	1
1031	1070	5
1031	1158	3
1031	1159	2
1031	1163	4
1031	1927	2
1031	2125	2
1031	2299	3
1031	2625	4
1031	2715	4
1031	2723	1
1031	2828	4
1031	2903	5
1031	3126	3
1031	3127	4
1031	3465	1
1031	3466	2
1031	3538	5
1039	1057	1
1039	1070	7
1039	1158	5
1039	1159	1
1039	1163	7
1039	1521	1
1039	1927	4
1039	2125	5
1039	2299	3
1039	2625	6
1039	2715	4
1039	2723	3
1039	2828	8
1039	2903	2
1039	3126	3
1039	3127	4
1039	3465	2
1039	3466	3
1039	3538	7
1057	1070	4
1057	1158	4
1057	1163	3
1057	1927	2
1057	2125	3
1057	2299	3
1057	2625	1
1057	2715	2
1057	2723	5
1057	2828	4
1057	2903	1
1057	3126	2
1057	3127	1
1057	3465	2
1057	3466	2
1057	3538	2
1070	1158	8
1070	1159	1
1070	1163	9
1070	1521	1
1070	1927	4
1070	2125	6
1070	2299	5
1070	2625	6
1070	2715	5
1070	2723	7
1070	2828	7
1070	2903	4
1070	3126	4
1070	3127	5
1070	3465	3
1070	3466	4
1070	3538	7
1158	1159	7
1158	1163	16
1158	1521	6
1158	1927	4
1158	2125	4
1158	2299	4
1158	2625	7
1158	2715	4
1158	2723	8
1158	2828	15
1158	2903	4
1158	3126	4
1158	3127	4
1158	3465	3
1158	3466	4
1158	3538	6
1159	1163	8
1159	1521	4
1159	1927	1
1159	2125	2
1159	2299	2
1159	2625	2
1159	2715	2
1159	2723	1
1159	2828	8
1159	2903	2
1159	3126	2
1159	3127	1
1159	3465	1
1159	3466	3
1159	3538	1
1163	1521	5
1163	1927	5
1163	2125	7
1163	2299	5
1163	2625	8
1163	2715	5
1163	2723	8
1163	2828	18
1163	2903	3
1163	3126	4
1163	3127	5
1163	3465	4
1163	3466	7
1163	3538	8
1521	1927	1
1521	2125	2
1521	2723	1
1521	2828	4
1521	3465	1
1521	3466	1
1521	3538	1
1927	2125	6
1927	2299	3
1927	2625	4
1927	2715	4
1927	2723	3
1927	2828	7
1927	3126	3
1927	3127	4
1927	3465	2
1927	3466	4
1927	3538	6
2125	2299	3
2125	2625	4
2125	2715	2
2125	2723	5
2125	2828	9
2125	3126	1
2125	3127	2
2125	3465	2
2125	3466	6
2125	3538	7
2299	2625	4
2299	2715	3
2299	2723	4
2299	2828	5
2299	2903	2
2299	3126	2
2299	3127	3
2299	3465	4
2299	3466	5
2299	3538	4
2625	2715	3
2625	2723	3
2625	2828	9
2625	2903	2
2625	3126	2
2625	3127	4
2625	3465	2
2625	3466	4
2625	3538	5
2715	2723	3
2715	2828	6
2715	2903	3
2715	3126	6
2715	3127	7
2715	3465	2
2715	3466	3
2715	3538	4
2723	2828	8
2723	2903	2
2723	3126	4
2723	3127	2
2723	3465	3
2723	3466	4
2723	3538	4
2828	2903	4
2828	3126	5
2828	3127	5
2828	3465	4
2828	3466	7
2828	3538	9
2903	3126	3
2903	3127	3
2903	3538	2
3126	3127	5
3126	3465	2
3126	3466	2
3126	3538	2
3127	3465	2
3127	3466	3
3127	3538	4
3465	3466	3
3465	3538	2
3466	3538	4
